Result,Player,Book Odds,predicted_prob,Odds,New Odds (w/limits),Difference,New Ex%,Book Decimal Odds,Bet Standard,Profit Standard,BankRoll Standard,Bet Kelly,Profit Kelly,Bankroll Kelly,Bets,Bet Odds,Edge,Week,,,This Week,14,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,